fecha,Abusos sexuales y otros delitos sexuales
2005-01-01,636
2005-02-01,535
2005-03-01,596
2005-04-01,597
2005-05-01,516
2005-06-01,560
2005-07-01,535
2005-08-01,711
2005-09-01,661
2005-10-01,601
2005-11-01,758
2005-12-01,611
2006-01-01,673
2006-02-01,590
2006-03-01,614
2006-04-01,525
2006-05-01,585
2006-06-01,563
2006-07-01,495
2006-08-01,569
2006-09-01,546
2006-10-01,640
2006-11-01,699
2006-12-01,691
2007-01-01,524
2007-02-01,541
2007-03-01,638
2007-04-01,656
2007-05-01,656
2007-06-01,581
2007-07-01,500
2007-08-01,632
2007-09-01,591
2007-10-01,703
2007-11-01,776
2007-12-01,687
2008-01-01,657
2008-02-01,629
2008-03-01,687
2008-04-01,771
2008-05-01,657
2008-06-01,786
2008-07-01,785
2008-08-01,795
2008-09-01,848
2008-10-01,899
2008-11-01,968
2008-12-01,835
2009-01-01,768
2009-02-01,651
2009-03-01,831
2009-04-01,880
2009-05-01,790
2009-06-01,783
2009-07-01,720
2009-08-01,829
2009-09-01,842
2009-10-01,898
2009-11-01,868
2009-12-01,817
2010-01-01,767
2010-02-01,701
2010-03-01,817
2010-04-01,805
2010-05-01,801
2010-06-01,866
2010-07-01,686
2010-08-01,832
2010-09-01,794
2010-10-01,893
2010-11-01,991
2010-12-01,802
2011-01-01,828
2011-02-01,736
2011-03-01,948
2011-04-01,1144
2011-05-01,1154
2011-06-01,1000
2011-07-01,833
2011-08-01,928
2011-09-01,973
2011-10-01,1122
2011-11-01,1218
2011-12-01,1064
2012-01-01,933
2012-02-01,870
2012-03-01,1063
2012-04-01,1020
2012-05-01,1034
2012-06-01,1238
2012-07-01,876
2012-08-01,1204
2012-09-01,1116
2012-10-01,1337
2012-11-01,1302
2012-12-01,1070
2013-01-01,969
2013-02-01,779
2013-03-01,938
2013-04-01,1114
2013-05-01,1053
2013-06-01,1093
2013-07-01,832
2013-08-01,988
2013-09-01,882
2013-10-01,1029
2013-11-01,1003
2013-12-01,881
2014-01-01,750
2014-02-01,683
2014-03-01,861
2014-04-01,873
2014-05-01,863
2014-06-01,848
2014-07-01,666
2014-08-01,893
2014-09-01,783
2014-10-01,910
2014-11-01,889
2014-12-01,709
2015-01-01,701
2015-02-01,605
2015-03-01,872
2015-04-01,799
2015-05-01,742
2015-06-01,745
2015-07-01,691
2015-08-01,792
2015-09-01,786
2015-10-01,800
2015-11-01,837
2015-12-01,645
2016-01-01,693
2016-02-01,612
2016-03-01,868
2016-04-01,838
2016-05-01,833
2016-06-01,789
2016-07-01,675
2016-08-01,857
2016-09-01,808
2016-10-01,822
2016-11-01,899
2016-12-01,698
2017-01-01,792
2017-02-01,669
2017-03-01,795
2017-04-01,729
2017-05-01,897
2017-06-01,916
2017-07-01,755
2017-08-01,937
2017-09-01,806
2017-10-01,917
2017-11-01,1057
2017-12-01,840
2018-01-01,807
2018-02-01,766
2018-03-01,850
2018-04-01,988
2018-05-01,1294
2018-06-01,1101
2018-07-01,877
2018-08-01,1133
2018-09-01,963
2018-10-01,1168
2018-11-01,1135
2018-12-01,942
2019-01-01,942
2019-02-01,897
2019-03-01,1252
2019-04-01,1341
2019-05-01,1203
2019-06-01,1031
2019-07-01,916
2019-08-01,1346
2019-09-01,1143
2019-10-01,1124
2019-11-01,1058
2019-12-01,1584
2020-01-01,1274
2020-02-01,1173
2020-03-01,1192
2020-04-01,569
2020-05-01,693
2020-06-01,667
2020-07-01,929
2020-08-01,1142
2020-09-01,1072
2020-10-01,1244
2020-11-01,1245
2020-12-01,1077
2021-01-01,1154
2021-02-01,1111
2021-03-01,1266
2021-04-01,985
2021-05-01,1138
2021-06-01,1117
2021-07-01,1120
2021-08-01,1389
2021-09-01,1359
2021-10-01,1555
2021-11-01,1719
2021-12-01,1418
2022-01-01,1308
2022-02-01,1144
2022-03-01,1900
2022-04-01,1862
2022-05-01,1820
2022-06-01,1478
2022-07-01,1094
2022-08-01,1692
2022-09-01,1507
2022-10-01,1652
2022-11-01,1710
2022-12-01,1343
