fecha,Robo frustrado
2005-01-01,461
2005-02-01,479
2005-03-01,543
2005-04-01,562
2005-05-01,624
2005-06-01,646
2005-07-01,665
2005-08-01,699
2005-09-01,737
2005-10-01,657
2005-11-01,608
2005-12-01,653
2006-01-01,582
2006-02-01,481
2006-03-01,623
2006-04-01,620
2006-05-01,661
2006-06-01,739
2006-07-01,727
2006-08-01,753
2006-09-01,613
2006-10-01,666
2006-11-01,618
2006-12-01,544
2007-01-01,594
2007-02-01,591
2007-03-01,704
2007-04-01,671
2007-05-01,716
2007-06-01,822
2007-07-01,837
2007-08-01,865
2007-09-01,789
2007-10-01,846
2007-11-01,741
2007-12-01,664
2008-01-01,667
2008-02-01,621
2008-03-01,676
2008-04-01,714
2008-05-01,735
2008-06-01,769
2008-07-01,877
2008-08-01,885
2008-09-01,789
2008-10-01,796
2008-11-01,772
2008-12-01,735
2009-01-01,788
2009-02-01,661
2009-03-01,790
2009-04-01,810
2009-05-01,911
2009-06-01,930
2009-07-01,1027
2009-08-01,1125
2009-09-01,992
2009-10-01,1055
2009-11-01,896
2009-12-01,839
2010-01-01,860
2010-02-01,702
2010-03-01,794
2010-04-01,709
2010-05-01,831
2010-06-01,958
2010-07-01,1094
2010-08-01,1104
2010-09-01,941
2010-10-01,943
2010-11-01,917
2010-12-01,921
2011-01-01,1054
2011-02-01,881
2011-03-01,1158
2011-04-01,1214
2011-05-01,1333
2011-06-01,1294
2011-07-01,1317
2011-08-01,1531
2011-09-01,1398
2011-10-01,1321
2011-11-01,1309
2011-12-01,1144
2012-01-01,1172
2012-02-01,1153
2012-03-01,1111
2012-04-01,963
2012-05-01,1022
2012-06-01,967
2012-07-01,1010
2012-08-01,1064
2012-09-01,1020
2012-10-01,992
2012-11-01,1046
2012-12-01,988
2013-01-01,1067
2013-02-01,939
2013-03-01,1055
2013-04-01,1040
2013-05-01,1059
2013-06-01,1071
2013-07-01,1074
2013-08-01,1129
2013-09-01,913
2013-10-01,981
2013-11-01,947
2013-12-01,964
2014-01-01,964
2014-02-01,787
2014-03-01,1003
2014-04-01,970
2014-05-01,1087
2014-06-01,956
2014-07-01,994
2014-08-01,1084
2014-09-01,959
2014-10-01,1050
2014-11-01,1050
2014-12-01,976
2015-01-01,948
2015-02-01,852
2015-03-01,917
2015-04-01,824
2015-05-01,989
2015-06-01,933
2015-07-01,986
2015-08-01,1038
2015-09-01,858
2015-10-01,988
2015-11-01,862
2015-12-01,819
2016-01-01,792
2016-02-01,786
2016-03-01,861
2016-04-01,769
2016-05-01,886
2016-06-01,832
2016-07-01,823
2016-08-01,812
2016-09-01,783
2016-10-01,773
2016-11-01,729
2016-12-01,720
2017-01-01,747
2017-02-01,612
2017-03-01,759
2017-04-01,681
2017-05-01,784
2017-06-01,731
2017-07-01,796
2017-08-01,803
2017-09-01,809
2017-10-01,786
2017-11-01,765
2017-12-01,712
2018-01-01,660
2018-02-01,640
2018-03-01,724
2018-04-01,724
2018-05-01,759
2018-06-01,720
2018-07-01,740
2018-08-01,756
2018-09-01,705
2018-10-01,690
2018-11-01,652
2018-12-01,679
2019-01-01,741
2019-02-01,680
2019-03-01,703
2019-04-01,686
2019-05-01,715
2019-06-01,724
2019-07-01,805
2019-08-01,781
2019-09-01,771
2019-10-01,782
2019-11-01,643
2019-12-01,656
2020-01-01,667
2020-02-01,724
2020-03-01,753
2020-04-01,715
2020-05-01,775
2020-06-01,627
2020-07-01,686
2020-08-01,470
2020-09-01,489
2020-10-01,563
2020-11-01,540
2020-12-01,499
2021-01-01,480
2021-02-01,520
2021-03-01,517
2021-04-01,504
2021-05-01,484
2021-06-01,505
2021-07-01,523
2021-08-01,596
2021-09-01,617
2021-10-01,712
2021-11-01,649
2021-12-01,625
2022-01-01,674
2022-02-01,629
2022-03-01,778
2022-04-01,861
2022-05-01,929
2022-06-01,884
2022-07-01,829
2022-08-01,896
2022-09-01,890
2022-10-01,945
2022-11-01,949
2022-12-01,874
